2019-08-01 23:08:01,220 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MillionMall_Group:MillionMall:1.0.0 @ C:\Users\13468\OneDrive\바탕 화면\MillionMall\MillionMall\workspace\MillionMall\pom.xml.
2019-08-01 23:08:01,784 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MillionMall/src/main/java
2019-08-01 23:08:01,784 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MillionMall/src/main/resources
2019-08-01 23:08:01,785 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MillionMall/src/test/java
2019-08-01 23:08:01,785 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MillionMall/src/test/resources
2019-08-01 23:08:02,234 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MillionMall_Group:MillionMall:1.0.0 @ C:\Users\13468\OneDrive\바탕 화면\MillionMall\MillionMall\workspace\MillionMall\pom.xml.
2019-08-01 23:08:02,659 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for MillionMall
2019-08-01 23:08:02,680 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2019-08-01 23:08:03,129 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:08:03,144 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:08:03,145 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:08:03,159 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:09:59,338 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\13468\OneDrive\바탕 화면\MillionMall\MillionMall\workspace\MillionMall
2019-08-01 23:09:59,338 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2019-08-01 23:10:10,701 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-08-01 23:10:10,771 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MillionMall_Group:MillionMall:1.0.0 @ C:\Users\13468\OneDrive\바탕 화면\MillionMall\MillionMall\workspace\MillionMall\pom.xml.
2019-08-01 23:10:11,255 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MillionMall/src/main/java
2019-08-01 23:10:11,255 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MillionMall/src/main/resources
2019-08-01 23:10:11,256 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MillionMall/src/test/java
2019-08-01 23:10:11,262 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MillionMall/src/test/resources
2019-08-01 23:10:11,561 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MillionMall_Group:MillionMall:1.0.0 @ C:\Users\13468\OneDrive\바탕 화면\MillionMall\MillionMall\workspace\MillionMall\pom.xml.
2019-08-01 23:10:11,923 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for MillionMall
2019-08-01 23:10:11,928 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2019-08-01 23:10:12,305 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:12,310 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:10:12,316 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:12,323 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:10:34,027 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:34,040 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:10:34,049 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:34,056 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:10:38,572 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:38,580 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:10:38,588 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:38,595 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:10:54,171 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:54,177 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-01 23:10:54,184 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-01 23:10:54,191 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
